Title,Link,Price,Date Time,Location,Organiser,Website Link,Facebook Link,Twitter Link,Instagram Link
"The Other Art Fair Brooklyn: November 9 - 12, 2023",https://www.eventbrite.com/e/the-other-art-fair-brooklyn-november-9-12-2023-tickets-696787619527?aff=ebdssbdestsearch,,N/A,"ZeroSpace 337-345 Butler Street Brooklyn, NY 11217",The Other Art Fair presented by Saatchi Art,N/A,https://www.facebook.com/theotherartfair,https://www.twitter.com/theotherartfair,N/A
Bowl of 'Zole Brooklyn 2023  at Industry City,https://www.eventbrite.com/e/bowl-of-zole-brooklyn-2023-at-industry-city-tickets-675418122787?aff=ebdssbdestsearch,,"Thu, Oct 19 •  5:00 PM ","33 35th St 33 35th Street Brooklyn, NY 11232",Food Karma Projects,N/A,https://www.facebook.com/foodkarmanyc,https://www.twitter.com/food_karma,N/A
Bowl of 'Zole Brooklyn 2023  at Industry City,https://www.eventbrite.com/e/bowl-of-zole-brooklyn-2023-at-industry-city-tickets-675418122787?aff=ebdssbdestsearch,,N/A,"33 35th St 33 35th Street Brooklyn, NY 11232",Food Karma Projects,N/A,https://www.facebook.com/foodkarmanyc,https://www.twitter.com/food_karma,N/A
"dfree FINFE$T 2023 powered by Prudential Financial -  NEWARK, NJ",https://www.eventbrite.com/e/dfree-finfet-2023-powered-by-prudential-financial-newark-nj-tickets-717103494857?aff=ebdssbdestsearch,,Friday • 6:00 PM,"Newark Philip's Academy Charter School 342 Central Ave, Newark, NJ 07103 Newark, NJ 07103",N/A,N/A,N/A,N/A,N/A
"dfree FINFE$T 2023 powered by Prudential Financial -  NEWARK, NJ",https://www.eventbrite.com/e/dfree-finfet-2023-powered-by-prudential-financial-newark-nj-tickets-717103494857?aff=ebdssbdestsearch,,N/A,"Newark Philip's Academy Charter School 342 Central Ave, Newark, NJ 07103 Newark, NJ 07103",N/A,N/A,N/A,N/A,N/A
2023 New Jersey Vegan Food Festival presented by the Vegan Local,https://www.eventbrite.com/e/2023-new-jersey-vegan-food-festival-presented-by-the-vegan-local-tickets-471759424137?aff=ebdssbdestsearch,,"Sat, Nov 11 •  11:00 AM ","Meadowlands Exposition Center 355 Plaza Drive Secaucus, NJ 07094",New Jersey VegFest,N/A,https://www.facebook.com/NewJerseyVegFest,https://www.twitter.com/NJVegFest,N/A
2023 New Jersey Vegan Food Festival presented by the Vegan Local,https://www.eventbrite.com/e/2023-new-jersey-vegan-food-festival-presented-by-the-vegan-local-tickets-471759424137?aff=ebdssbdestsearch,,N/A,"Meadowlands Exposition Center 355 Plaza Drive Secaucus, NJ 07094",New Jersey VegFest,N/A,https://www.facebook.com/NewJerseyVegFest,https://www.twitter.com/NJVegFest,N/A
"New York City Bus Trip December 9, 2023  Departing from Norfolk, VA",https://www.eventbrite.com/e/new-york-city-bus-trip-december-9-2023-departing-from-norfolk-va-tickets-665047724647?aff=ebdssbdestsearch,,"Sat, Dec 9 •  12:01 AM ","Macy's Herald Square Café 151 West 34th Street New York, NY 10001","Freedom Tours Coach Line, Inc.",N/A,N/A,N/A,N/A
"New York City Bus Trip December 9, 2023  Departing from Norfolk, VA",https://www.eventbrite.com/e/new-york-city-bus-trip-december-9-2023-departing-from-norfolk-va-tickets-665047724647?aff=ebdssbdestsearch,,N/A,"Macy's Herald Square Café 151 West 34th Street New York, NY 10001","Freedom Tours Coach Line, Inc.",N/A,N/A,N/A,N/A
2023 Fungus Festival: Paseo de hongos en Español con Latino Outdoors,https://www.eventbrite.com/e/2023-fungus-festival-paseo-de-hongos-en-espanol-con-latino-outdoors-tickets-725179109237?aff=ebdssbdestsearch,,Sunday • 11:30 AM,"11 Wards Meadow Loop 11 Wards Meadow Loop New York, NY 10035",New York Mycological Society,https://newyorkmyc.org,N/A,N/A,N/A
2023 Fungus Festival: Paseo de hongos en Español con Latino Outdoors,https://www.eventbrite.com/e/2023-fungus-festival-paseo-de-hongos-en-espanol-con-latino-outdoors-tickets-725179109237?aff=ebdssbdestsearch,,N/A,"11 Wards Meadow Loop 11 Wards Meadow Loop New York, NY 10035",New York Mycological Society,https://newyorkmyc.org,N/A,N/A,N/A
Spain's Great Match 2023 NYC Evening Tasting,https://www.eventbrite.com/e/spains-great-match-2023-nyc-evening-tasting-tickets-669565136347?aff=ebdssbdestsearch,,N/A,"Mercado Little Spain 10 Hudson Yards New York, NY 10001",Foods and Wines from Spain,https://www.foodswinesfromspain.com/en/upcoming-events/trade-shows-detail-two/spain-s-great-match-los-angeles.html,https://www.facebook.com/204636039572019,https://www.twitter.com/SpainFoodWineUS,N/A
Spain's Great Match 2023 NYC Evening Tasting,https://www.eventbrite.com/e/spains-great-match-2023-nyc-evening-tasting-tickets-669565136347?aff=ebdssbdestsearch,,N/A,"Mercado Little Spain 10 Hudson Yards New York, NY 10001",Foods and Wines from Spain,https://www.foodswinesfromspain.com/en/upcoming-events/trade-shows-detail-two/spain-s-great-match-los-angeles.html,https://www.facebook.com/204636039572019,https://www.twitter.com/SpainFoodWineUS,N/A
FINE FAIR,https://www.eventbrite.com/e/fine-fair-tickets-717611414057?aff=ebdssbdestsearch,,"Thu, Nov 16 •  5:30 PM ","AKDO NYC Showroom 22 West 21st Street New York, NY 10010",Fine Fair Committee,N/A,N/A,N/A,N/A
FINE FAIR,https://www.eventbrite.com/e/fine-fair-tickets-717611414057?aff=ebdssbdestsearch,,N/A,"AKDO NYC Showroom 22 West 21st Street New York, NY 10010",Fine Fair Committee,N/A,N/A,N/A,N/A
The Pierre Hotel presents Diwali : Festival of Lights 2023,https://www.eventbrite.com/e/the-pierre-hotel-presents-diwali-festival-of-lights-2023-tickets-726868983697?aff=ebdssbdestsearch,,"Fri, Nov 10 •  5:30 PM ","The Pierre, A Taj Hotel, New York 2 East 61st Street New York, NY 10065","The Pierre, A TAJ Hotel",N/A,N/A,N/A,N/A
The Pierre Hotel presents Diwali : Festival of Lights 2023,https://www.eventbrite.com/e/the-pierre-hotel-presents-diwali-festival-of-lights-2023-tickets-726868983697?aff=ebdssbdestsearch,,N/A,"The Pierre, A Taj Hotel, New York 2 East 61st Street New York, NY 10065","The Pierre, A TAJ Hotel",N/A,N/A,N/A,N/A
College Fair @ HSA,https://www.eventbrite.com/e/college-fair-hsa-tickets-703314431397?aff=ebdssbdestsearch,,Saturday • 1:00 PM,"Harlem School of the Arts 645 Saint Nicholas Avenue New York, NY 10030",Harlem School of the Arts,http://www.hsanyc.org,https://www.facebook.com/hsanyc,https://www.twitter.com/HSAnyc,N/A
College Fair @ HSA,https://www.eventbrite.com/e/college-fair-hsa-tickets-703314431397?aff=ebdssbdestsearch,,N/A,"Harlem School of the Arts 645 Saint Nicholas Avenue New York, NY 10030",Harlem School of the Arts,http://www.hsanyc.org,https://www.facebook.com/hsanyc,https://www.twitter.com/HSAnyc,N/A
"Rep. Yvette D. Clarke  Presents     ""Protecting Our  Seniors: Service Expo""",https://www.eventbrite.com/e/rep-yvette-d-clarke-presents-protecting-our-seniors-service-expo-tickets-708074258167?aff=ebdssbdestsearch,,N/A,"1561 Bedford Ave 1561 Bedford Avenue Brooklyn, NY 11225",Congresswoman Yvette D. Clarke,N/A,N/A,N/A,N/A
"Rep. Yvette D. Clarke  Presents     ""Protecting Our  Seniors: Service Expo""",https://www.eventbrite.com/e/rep-yvette-d-clarke-presents-protecting-our-seniors-service-expo-tickets-708074258167?aff=ebdssbdestsearch,,N/A,"1561 Bedford Ave 1561 Bedford Avenue Brooklyn, NY 11225",Congresswoman Yvette D. Clarke,N/A,N/A,N/A,N/A
Hard (World Premiere),https://www.eventbrite.com/e/hard-world-premiere-tickets-691773512197?aff=ebdssbdestsearch,,"Sat, Oct 21 •  3:00 PM ","City Tech 300 Jay Street Brooklyn, NY 11201",African Voices Magazine,N/A,https://www.facebook.com/reelsistersfilmfestival,https://www.twitter.com/africanvoices,N/A
Hard (World Premiere),https://www.eventbrite.com/e/hard-world-premiere-tickets-691773512197?aff=ebdssbdestsearch,,N/A,"City Tech 300 Jay Street Brooklyn, NY 11201",African Voices Magazine,N/A,https://www.facebook.com/reelsistersfilmfestival,https://www.twitter.com/africanvoices,N/A
Day of the Dead Family Celebration,https://www.eventbrite.com/e/day-of-the-dead-family-celebration-tickets-696702204047?aff=ebdssbdestsearch,,"Wed, Nov 1 •  4:00 PM ","The Green-Wood Cemetery 500 25th Street Brooklyn, NY 11232",The Green-Wood Historic Fund,https://www.green-wood.com,https://www.facebook.com/historicgreenwood,https://www.twitter.com/greenwoodhf,N/A
Day of the Dead Family Celebration,https://www.eventbrite.com/e/day-of-the-dead-family-celebration-tickets-696702204047?aff=ebdssbdestsearch,,N/A,"The Green-Wood Cemetery 500 25th Street Brooklyn, NY 11232",The Green-Wood Historic Fund,https://www.green-wood.com,https://www.facebook.com/historicgreenwood,https://www.twitter.com/greenwoodhf,N/A
NYC Artisanal Sweet Treats Bazaar,https://www.eventbrite.com/e/nyc-artisanal-sweet-treats-bazaar-tickets-677641763757?aff=ebdssbdestsearch,,"Sun, Oct 22 •  10:00 AM ","Grand Bazaar NYC 100 West 77th Street New York, NY 10024",Grand Bazaar NYC,https://grandbazaarnyc.org/,https://www.facebook.com/GrandBazaarNYC,https://www.twitter.com/GrandBazaarNYC,N/A
NYC Artisanal Sweet Treats Bazaar,https://www.eventbrite.com/e/nyc-artisanal-sweet-treats-bazaar-tickets-677641763757?aff=ebdssbdestsearch,,N/A,"Grand Bazaar NYC 100 West 77th Street New York, NY 10024",Grand Bazaar NYC,https://grandbazaarnyc.org/,https://www.facebook.com/GrandBazaarNYC,https://www.twitter.com/GrandBazaarNYC,N/A
3rd Annual Experience The Legacy HBCU College Fair,https://www.eventbrite.com/e/3rd-annual-experience-the-legacy-hbcu-college-fair-registration-705058919207?aff=ebdssbdestsearch,,"Sat, Dec 2 •  10:00 AM ","Irvington High School 1253 Clinton Avenue Irvington, NJ 07111",Experience The Legacy HBCU Fair,https://www.experiencethelegacy.org,https://www.facebook.com/experiencethelegacyinc,N/A,N/A
3rd Annual Experience The Legacy HBCU College Fair,https://www.eventbrite.com/e/3rd-annual-experience-the-legacy-hbcu-college-fair-registration-705058919207?aff=ebdssbdestsearch,,N/A,"Irvington High School 1253 Clinton Avenue Irvington, NJ 07111",Experience The Legacy HBCU Fair,https://www.experiencethelegacy.org,https://www.facebook.com/experiencethelegacyinc,N/A,N/A
Wine and Oyster Dinner,https://www.eventbrite.com/e/wine-and-oyster-dinner-tickets-733209337867?aff=ebdssbdestsearch,,"Thu, Nov 9 •  6:00 PM ","Docks Oyster Bar 633 3rd Avenue New York, NY 10017",Docks Oyster Bar,N/A,https://www.facebook.com/Docks-Oyster-Bar-108427555862746,https://www.twitter.com/docksoysterbar,N/A
Wine and Oyster Dinner,https://www.eventbrite.com/e/wine-and-oyster-dinner-tickets-733209337867?aff=ebdssbdestsearch,,N/A,"Docks Oyster Bar 633 3rd Avenue New York, NY 10017",Docks Oyster Bar,N/A,https://www.facebook.com/Docks-Oyster-Bar-108427555862746,https://www.twitter.com/docksoysterbar,N/A
Celebración Latina,https://www.eventbrite.com/e/celebracion-latina-registration-699232091007?aff=ebdssbdestsearch,,Sunday • 1:00 PM,"Ballet Hispanico 167 West 89th Street New York, NY 10024",Ballet Hispánico,https://www.ballethispanico.org/,https://www.facebook.com/ballethispanico,https://www.twitter.com/ballethispanico,N/A
Celebración Latina,https://www.eventbrite.com/e/celebracion-latina-registration-699232091007?aff=ebdssbdestsearch,,N/A,"Ballet Hispanico 167 West 89th Street New York, NY 10024",Ballet Hispánico,https://www.ballethispanico.org/,https://www.facebook.com/ballethispanico,https://www.twitter.com/ballethispanico,N/A
Art After Dark: Silent Disco,https://www.eventbrite.com/e/art-after-dark-silent-disco-tickets-689330936387?aff=ebdssbdestsearch,,"Thu, Oct 26 •  7:00 PM ","The Newark Museum of Art 49 Washington St Newark, NJ 07102",The Newark Museum of Art,http://www.newarkmuseumart.org,https://www.facebook.com/NewarkMuseumArt,https://www.twitter.com/NewarkMuseumArt,N/A
Art After Dark: Silent Disco,https://www.eventbrite.com/e/art-after-dark-silent-disco-tickets-689330936387?aff=ebdssbdestsearch,,N/A,"The Newark Museum of Art 49 Washington St Newark, NJ 07102",The Newark Museum of Art,http://www.newarkmuseumart.org,https://www.facebook.com/NewarkMuseumArt,https://www.twitter.com/NewarkMuseumArt,N/A
CMCS Job Fair,https://www.eventbrite.com/e/cmcs-job-fair-tickets-719272672927?aff=ebdssbdestsearch,,"Fri, Oct 20 •  11:00 AM ","529 Courtlandt Avenue, The Bronx, NY, USA 529 Courtlandt Avenue The Bronx, NY 10451",N/A,N/A,N/A,N/A,N/A
CMCS Job Fair,https://www.eventbrite.com/e/cmcs-job-fair-tickets-719272672927?aff=ebdssbdestsearch,,N/A,"529 Courtlandt Avenue, The Bronx, NY, USA 529 Courtlandt Avenue The Bronx, NY 10451",N/A,N/A,N/A,N/A,N/A
Young Gun,https://www.eventbrite.com/e/young-gun-tickets-721010129707?aff=ebdssbdestsearch,,"Sat, Oct 28 •  6:00 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Young Gun,https://www.eventbrite.com/e/young-gun-tickets-721010129707?aff=ebdssbdestsearch,,N/A,"Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Jam N' Skate Arts Fest,https://www.eventbrite.com/e/jam-n-skate-arts-fest-tickets-669942334557?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","Paterson Skatepark 99-105 21st Avenue Paterson, NJ 07501","Grand Artistry Inspires, Inc",https://www.grandartistryinspires.com/,N/A,N/A,N/A
Jam N' Skate Arts Fest,https://www.eventbrite.com/e/jam-n-skate-arts-fest-tickets-669942334557?aff=ebdssbdestsearch,,N/A,"Paterson Skatepark 99-105 21st Avenue Paterson, NJ 07501","Grand Artistry Inspires, Inc",https://www.grandartistryinspires.com/,N/A,N/A,N/A
Annual Pumpkin Patch Day!,https://www.eventbrite.com/e/annual-pumpkin-patch-day-tickets-718770520977?aff=ebdssbdestsearch,,"Sat, Oct 21 •  10:00 AM ","Liberty Hall Museum 1003 Morris Avenue Union, NJ 07083",Liberty Hall Museum,https://libertyhall.kean.edu/,https://www.facebook.com/1977608719220611,N/A,N/A
Annual Pumpkin Patch Day!,https://www.eventbrite.com/e/annual-pumpkin-patch-day-tickets-718770520977?aff=ebdssbdestsearch,,N/A,"Liberty Hall Museum 1003 Morris Avenue Union, NJ 07083",Liberty Hall Museum,https://libertyhall.kean.edu/,https://www.facebook.com/1977608719220611,N/A,N/A
Fall Arts & Craft Fair at Nook,https://www.eventbrite.com/e/fall-arts-craft-fair-at-nook-tickets-722766623427?aff=ebdssbdestsearch,,"Sat, Nov 11 •  10:00 AM ","Nook 45 Irving Avenue #Unit 1 Brooklyn, NY 11237",Nook,N/A,N/A,N/A,N/A
Fall Arts & Craft Fair at Nook,https://www.eventbrite.com/e/fall-arts-craft-fair-at-nook-tickets-722766623427?aff=ebdssbdestsearch,,N/A,"Nook 45 Irving Avenue #Unit 1 Brooklyn, NY 11237",Nook,N/A,N/A,N/A,N/A
VIP Pass,https://www.eventbrite.com/e/vip-pass-tickets-724286017977?aff=ebdssbdestsearch,,"Wed, Oct 25 •  6:00 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
VIP Pass,https://www.eventbrite.com/e/vip-pass-tickets-724286017977?aff=ebdssbdestsearch,,N/A,"Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
Aberdeen Community Garden Autumn Equinox Festival & Fundraiser,https://www.eventbrite.com/e/aberdeen-community-garden-autumn-equinox-festival-fundraiser-tickets-716585254787?aff=ebdssbdestsearch,,N/A,"Aberdeen Street Community Garden 98 Aberdeen Street Brooklyn, NY 11207",Aberdeen Community Garden,N/A,N/A,N/A,https://www.instagram.com/aberdeengarden/
Aberdeen Community Garden Autumn Equinox Festival & Fundraiser,https://www.eventbrite.com/e/aberdeen-community-garden-autumn-equinox-festival-fundraiser-tickets-716585254787?aff=ebdssbdestsearch,,N/A,"Aberdeen Street Community Garden 98 Aberdeen Street Brooklyn, NY 11207",Aberdeen Community Garden,N/A,N/A,N/A,https://www.instagram.com/aberdeengarden/
16th ANNUAL NATRAJ FOLK ARTS FESTIVAL,https://www.eventbrite.com/e/16th-annual-natraj-folk-arts-festival-tickets-674796413237?aff=ebdssbdestsearch,,"Sat, Nov 11 •  6:00 PM ","BALANCE ARTS CENTER 151 West 30th Street 3rd Floor New York, NY 10001",THE INDIA CENTER,N/A,N/A,https://www.twitter.com/@https://,N/A
16th ANNUAL NATRAJ FOLK ARTS FESTIVAL,https://www.eventbrite.com/e/16th-annual-natraj-folk-arts-festival-tickets-674796413237?aff=ebdssbdestsearch,,N/A,"BALANCE ARTS CENTER 151 West 30th Street 3rd Floor New York, NY 10001",THE INDIA CENTER,N/A,N/A,https://www.twitter.com/@https://,N/A
All The Songs We Never Sang,https://www.eventbrite.com/e/all-the-songs-we-never-sang-tickets-720952336847?aff=ebdssbdestsearch,,"Sat, Oct 28 •  12:30 PM ","Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
All The Songs We Never Sang,https://www.eventbrite.com/e/all-the-songs-we-never-sang-tickets-720952336847?aff=ebdssbdestsearch,,N/A,"Williamsburg Cinemas 217 Grand Street Brooklyn, NY 11211",Bushwick Film Festival,https://watch.bushwickfilmfestival.com/,https://www.facebook.com/BushwickFilmFestival,N/A,N/A
TIME OUT BEER & WINE FALL FESTIVAL,https://www.eventbrite.com/e/time-out-beer-wine-fall-festival-tickets-714668692297?aff=ebdssbdestsearch,,Saturday • 2:00 PM,"Emily Warren Roebling Plaza (Under The Brooklyn Bridge) 11 Water Street DUMBO Brooklyn, NY 11201",Time Out Market New York,https://www.timeoutmarket.com/newyork/,https://www.facebook.com/timeoutmarketnewyork,N/A,N/A
TIME OUT BEER & WINE FALL FESTIVAL,https://www.eventbrite.com/e/time-out-beer-wine-fall-festival-tickets-714668692297?aff=ebdssbdestsearch,,N/A,"Emily Warren Roebling Plaza (Under The Brooklyn Bridge) 11 Water Street DUMBO Brooklyn, NY 11201",Time Out Market New York,https://www.timeoutmarket.com/newyork/,https://www.facebook.com/timeoutmarketnewyork,N/A,N/A
Art Fair 14C  Sensory Friendly Tours,https://www.eventbrite.com/e/art-fair-14c-sensory-friendly-tours-tickets-718228640197?aff=ebdssbdestsearch,,Saturday • 11:00 AM,"CRRNJ Terminal Building 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
Art Fair 14C  Sensory Friendly Tours,https://www.eventbrite.com/e/art-fair-14c-sensory-friendly-tours-tickets-718228640197?aff=ebdssbdestsearch,,N/A,"CRRNJ Terminal Building 1 Audrey Zapp Drive Jersey City, NJ 07305",Art Fair 14C,http://www.artfair14c.com,https://www.facebook.com/artfair14c,https://www.twitter.com/artfair14c,N/A
Fall Festival,https://www.eventbrite.com/e/fall-festival-tickets-694835861767?aff=ebdssbdestsearch,,"Sat, Oct 21 •  11:00 AM ","Dyckman Farmhouse Museum 4881 Broadway Street New York, NY 10034",Dyckman Farmhouse Museum,N/A,N/A,N/A,N/A
Fall Festival,https://www.eventbrite.com/e/fall-festival-tickets-694835861767?aff=ebdssbdestsearch,,N/A,"Dyckman Farmhouse Museum 4881 Broadway Street New York, NY 10034",Dyckman Farmhouse Museum,N/A,N/A,N/A,N/A
National Chemistry Week 2023 - New York Hall of Science,https://www.eventbrite.com/e/national-chemistry-week-2023-new-york-hall-of-science-tickets-694076851547?aff=ebdssbdestsearch,,Sunday • 10:00 AM,"New York Hall of Science 47-01 111th Street Queens, NY 11368",New York ACS Younger Chemist Committee,N/A,N/A,N/A,N/A
National Chemistry Week 2023 - New York Hall of Science,https://www.eventbrite.com/e/national-chemistry-week-2023-new-york-hall-of-science-tickets-694076851547?aff=ebdssbdestsearch,,N/A,"New York Hall of Science 47-01 111th Street Queens, NY 11368",New York ACS Younger Chemist Committee,N/A,N/A,N/A,N/A
Intl Film Festival Manhattan Awards Ceremony 2023,https://www.eventbrite.com/e/intl-film-festival-manhattan-awards-ceremony-2023-tickets-731130098807?aff=ebdssbdestsearch,,Friday • 6:00 PM,"Philippine Center New York 556 5th Avenue New York, NY 10036",Luis Pedron,N/A,https://www.facebook.com/LuisPedron,https://www.twitter.com/IFFMNewYork,N/A
Intl Film Festival Manhattan Awards Ceremony 2023,https://www.eventbrite.com/e/intl-film-festival-manhattan-awards-ceremony-2023-tickets-731130098807?aff=ebdssbdestsearch,,N/A,"Philippine Center New York 556 5th Avenue New York, NY 10036",Luis Pedron,N/A,https://www.facebook.com/LuisPedron,https://www.twitter.com/IFFMNewYork,N/A
Dia de los Muertos: Afterlife Fiesta,https://www.eventbrite.com/e/dia-de-los-muertos-afterlife-fiesta-tickets-722934756317?aff=ebdssbdestsearch,,"Tue, Oct 24 •  7:30 PM ","El Museo del Barrio 1230 5th Avenue New York, NY 10029",El Museo del Barrio,N/A,https://www.facebook.com/elmuseo,https://www.twitter.com/elmuseo,N/A
Dia de los Muertos: Afterlife Fiesta,https://www.eventbrite.com/e/dia-de-los-muertos-afterlife-fiesta-tickets-722934756317?aff=ebdssbdestsearch,,N/A,"El Museo del Barrio 1230 5th Avenue New York, NY 10029",El Museo del Barrio,N/A,https://www.facebook.com/elmuseo,https://www.twitter.com/elmuseo,N/A
Howl-O-Ween,https://www.eventbrite.com/e/howl-o-ween-tickets-709437034267?aff=ebdssbdestsearch,,"Sat, Oct 28 •  2:00 PM ","Church Square Park 400 Garden Street Hoboken, NJ 07030",Hoboken Community Center,http://www.hobokencc.org,N/A,https://www.twitter.com/hobcommunityctr,N/A
Howl-O-Ween,https://www.eventbrite.com/e/howl-o-ween-tickets-709437034267?aff=ebdssbdestsearch,,N/A,"Church Square Park 400 Garden Street Hoboken, NJ 07030",Hoboken Community Center,http://www.hobokencc.org,N/A,https://www.twitter.com/hobcommunityctr,N/A
